ACCNUM,YEAR,HOUR,ROAD_CLASS,District,WardNum,ACCLOC,TRAFFCTL,VISIBILITY,RDSFCOND,ACCLASS,IMPACTYPE,INVAGE,INJURY,FATAL_NO,DRIVACT,DRIVCOND,PEDACT,PEDCOND,geometry
884090,2006,7,Major Arterial,Toronto and East York,11,,No Control,Other,Wet,Non-Fatal Injury,Pedestrian Collisions,30 to 34,None,,Improper Lane Change,Inattentive,,,"-79.406253, 43.652892"
884090,2006,7,Major Arterial,Toronto and East York,11,,No Control,Other,Wet,Non-Fatal Injury,Pedestrian Collisions,45 to 49,Major,,,,Crossing without right of way,Inattentive,"-79.406253, 43.652892"
884756,2006,7,Collector,Scarborough,25,At Intersection,Stop Sign,Clear,Wet,Fatal,Pedestrian Collisions,10 to 14,None,,,,,,"-79.17069, 43.803445"
884756,2006,7,Collector,Scarborough,25,At Intersection,Stop Sign,Clear,Wet,Fatal,Pedestrian Collisions,40 to 44,None,,Failed to Yield Right of Way,Inattentive,,,"-79.17069, 43.803445"
884756,2006,7,Collector,Scarborough,25,At Intersection,Stop Sign,Clear,Wet,Fatal,Pedestrian Collisions,75 to 79,Fatal,,,,Crossing with right of way,Normal,"-79.17069, 43.803445"
889954,2006,7,Major Arterial,Scarborough,22,At Intersection,Traffic Signal,Rain,Wet,Non-Fatal Injury,Pedestrian Collisions,70 to 74,None,,Failed to Yield Right of Way,Normal,,,"-79.30709, 43.800645"
889954,2006,7,Major Arterial,Scarborough,22,At Intersection,Traffic Signal,Rain,Wet,Non-Fatal Injury,Pedestrian Collisions,15 to 19,Major,,,,Crossing with right of way,Normal,"-79.30709, 43.800645"
924338,2006,7,Major Arterial,Etobicoke York,5,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,20 to 24,None,,Failed to Yield Right of Way,Unknown,,,"-79.50379, 43.702845"
924338,2006,7,Major Arterial,Etobicoke York,5,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,80 to 84,Major,,,,Crossing with right of way,Normal,"-79.50379, 43.702845"
890583,2006,7,Minor Arterial,Toronto and East York,4,At Intersection,Stop Sign,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,30 to 34,None,,Failed to Yield Right of Way,Normal,,,"-79.47909, 43.657845"
890583,2006,7,Minor Arterial,Toronto and East York,4,At Intersection,Stop Sign,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,50 to 54,Major,,,,Crossing with right of way,Normal,"-79.47909, 43.657845"
893520,2006,7,Major Arterial,Etobicoke York,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Turning Movement,unknown,None,,,,,,"-79.55889, 43.628045"
893520,2006,7,Major Arterial,Etobicoke York,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Turning Movement,20 to 24,None,,Disobeyed Traffic Control,Normal,,,"-79.55889, 43.628045"
893520,2006,7,Major Arterial,Etobicoke York,,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Turning Movement,25 to 29,Major,,Disobeyed Traffic Control,Inattentive,,,"-79.55889, 43.628045"
906284,2006,7,Major Arterial,Etobicoke York,3,At Intersection,Stop Sign,Clear,Dry,Non-Fatal Injury,Turning Movement,65 to 69,Major,,Improper Turn,Normal,,,"-79.50149, 43.626545"
906284,2006,7,Major Arterial,Etobicoke York,3,At Intersection,Stop Sign,Clear,Dry,Non-Fatal Injury,Turning Movement,30 to 34,Minor,,,,,,"-79.50149, 43.626545"
906284,2006,7,Major Arterial,Etobicoke York,3,At Intersection,Stop Sign,Clear,Dry,Non-Fatal Injury,Turning Movement,unknown,None,,,,,,"-79.50149, 43.626545"
906284,2006,7,Major Arterial,Etobicoke York,3,At Intersection,Stop Sign,Clear,Dry,Non-Fatal Injury,Turning Movement,35 to 39,None,,Driving Properly,Normal,,,"-79.50149, 43.626545"
911757,2006,7,Major Arterial,Toronto and East York,12,At Intersection,Stop Sign,Rain,Wet,Non-Fatal Injury,Turning Movement,25 to 29,Major,,Driving Properly,Normal,,,"-79.39459, 43.689145"
911757,2006,7,Major Arterial,Toronto and East York,12,At Intersection,Stop Sign,Rain,Wet,Non-Fatal Injury,Turning Movement,25 to 29,None,,Failed to Yield Right of Way,Normal,,,"-79.39459, 43.689145"
906207,2006,7,Major Arterial,Toronto and East York,19,,Traffic Signal,Clear,Dry,Fatal,Pedestrian Collisions,35 to 39,None,,Driving Properly,Normal,,,"-79.31119, 43.669945"
906207,2006,7,Major Arterial,Toronto and East York,19,,Traffic Signal,Clear,Dry,Fatal,Pedestrian Collisions,50 to 54,Fatal,,,,Crossing without right of way,Inattentive,"-79.31119, 43.669945"
925968,2006,7,Major Arterial,North York,17,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,30 to 34,None,,Driving Properly,Normal,,,"-79.38309, 43.767745"
925968,2006,7,Major Arterial,North York,17,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,65 to 69,Major,,,,Crossing without right of way,Normal,"-79.38309, 43.767745"
893964,2006,7,Minor Arterial,Scarborough,24,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,20 to 24,None,,Driving Properly,Normal,,,"-79.23179, 43.783845"
893964,2006,7,Minor Arterial,Scarborough,24,,Traffic Signal,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,60 to 64,Major,,,,Running onto Roadway,Normal,"-79.23179, 43.783845"
958067,2007,7,Major Arterial,North York,18,Non Intersection,No Control,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,unknown,,,,,,,"-79.416087, 43.782069"
958067,2007,7,Major Arterial,North York,18,Non Intersection,No Control,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,55 to 59,None,,Failed to Yield Right of Way,Normal,,,"-79.416087, 43.782069"
958067,2007,7,Major Arterial,North York,18,Non Intersection,No Control,Clear,Dry,Non-Fatal Injury,Pedestrian Collisions,45 to 49,Major,,,,Walking on Roadway with Traffic,Normal,"-79.416087, 43.782069"
953178,2007,7,Minor Arterial,Scarborough,22,,No Control,Snow,Packed Snow,Fatal,Pedestrian Collisions,25 to 29,None,,Speed too Fast For Condition,Normal,,,"-79.32219, 43.806045"
953178,2007,7,Minor Arterial,Scarborough,22,,No Control,Snow,Packed Snow,Fatal,Pedestrian Collisions,30 to 34,Fatal,,,,Walking on Roadway with Traffic,Inattentive,"-79.32219, 43.806045"
937458,2006,7,Collector,Scarborough,23,,No Control,Clear,Wet,Non-Fatal Injury,SMV Other,15 to 19,Major,,Lost control,Normal,,,"-79.27009, 43.802645"
964724,2007,7,Major Arterial,Scarborough,22,At Intersection,Traffic Signal,Clear,Dry,Non-Fatal Injury,Turning Movement,70 to 74,Major,,Disobeyed Traffic Control,Medical or Physical Disability,,,"-79.30789, 43.778745"
