_id,address,geometry,min_speed,schedule,speed_limit,start_date,ward_no
7195,195 Sentinel Road,"-79.4979532214, 43.7526621335",30,Weekdays from 7 AM - 9 PM,40,2016-01-01T05:00:00,7
7377,50 Hounslow Avenue,"-79.4169505091, 43.7756900469",30,Weekdays from 7 AM - 9 PM,40,2016-01-01T05:00:00,18
7381,120 Cactus Avenue,"-79.4339557143, 43.791565",30,Weekdays from 7 AM - 9 PM,40,2016-01-01T05:00:00,18
7384,84 Norton Avenue,"-79.4091023655, 43.7731412963",30,Weekdays from 7 AM - 9 PM,40,2016-01-01T05:00:00,18
7385,321 Hollywood Avenue,"-79.3945969792, 43.7694496762",30,Weekdays from 7 AM - 9 PM,40,2016-01-01T05:00:00,18
7389,224 Ellerslie Avenue,"-79.4242353888, 43.7693683263",30,Weekdays from 7 AM - 9 PM,40,2016-01-01T05:00:00,18
7329,837 Millwood Road,"-79.3671794386, 43.7048113786",30,Weekdays from 7 AM - 9 PM,40,2016-01-01T15:00:00,15
7373,157 Avondale Avenue,"-79.4012703152, 43.7600937109",30,Weekdays from 7 AM - 9 PM,40,2016-01-01T15:00:00,18
7452,74 Chine Drive,"-79.2434437724, 43.7101705167",30,Weekdays from 7 AM - 9 PM,40,2016-01-01T16:00:00,20
7560,115 Rathburn Road,"-79.5406593533, 43.6603512367",20,Weekdays from 7 AM - 9 PM,30,2016-11-09T15:00:00,2
7288,433 Eastern Avenue,"-79.3436940165, 43.6572348239",20,Weekdays from 7 AM - 9 PM,30,2016-11-09T16:00:00,14
7362,615 Seneca Hill Drive,"-79.3521215172, 43.7906840293",30,Weekdays from 7 AM - 9 PM,40,2016-11-10T18:00:00,17
7558,669 Seneca Hill Drive,"-79.3506784888, 43.7924962978",20,Weekdays from 7 AM - 9 PM,30,2016-11-10T18:00:00,17
7570,2447 Dundas Street West,"-79.4534178229, 43.6591869669",20,Weekdays from 7 AM - 9 PM,30,2016-11-17T18:00:00,4
7021,850 Humberwood Boulevard,"-79.6200688334, 43.7289179122",30,Weekdays from 7 AM - 9 PM,40,2016-11-30T16:00:00,1
7071,72 Rathburn Road,"-79.5373816939, 43.6612089011",30,Weekdays from 7 AM - 9 PM,40,2016-11-30T16:00:00,2
7135,2269 Dundas Street West,"-79.4521196337, 43.6548634474",30,Weekdays from 12 AM,40,2016-12-15T16:00:00,4
7246,1577 Bloor Street West,"-79.4545550795, 43.6558298626",30,Weekdays from 12 AM,40,2016-12-15T16:00:00,4
7328,502 Blythwood Road,"-79.3853321739, 43.7198530928",20,Weekdays from 7 AM - 9 PM,30,2017-01-12T16:00:00,15
7581,303 Blythwood Road,"-79.3908789822, 43.7185310166",20,Weekdays from 7 AM - 9 PM,30,2017-01-12T16:00:00,15
7133,1480 Bloor Street West,"-79.4505424948, 43.6569126948",30,Weekdays from 12 AM,40,2017-02-24T15:00:00,4
7553,164 Cherokee Boulevard,"-79.3371011468, 43.7924072346",20,Weekdays from 7 AM - 9 PM,30,2017-02-24T15:00:00,17
7247,128 Mount Pleasant Road,"-79.3808211537, 43.6760162315",30,Weekdays from 7 AM - 9 PM,50,2017-03-07T16:00:00,11
7577,540 Jones Avenue,"-79.3390653421, 43.6771506849",20,Weekdays from 7 AM - 9 PM,30,2017-03-07T16:00:00,14
7221,1138 Avenue Road,"-79.4109316321, 43.7095481522",5,Weekdays from 7 AM - 9 PM,40,2017-04-06T15:00:00,8
7575,370 Spadina Avenue,"-79.3991406413, 43.6549294281",20,Weekdays from 7 AM - 9 PM,30,2017-05-10T16:00:00,11
7040,16 Gateway Boulevard,"-79.332705, 43.710406",30,Weekdays from 8 AM - 5 PM,40,2017-05-26T16:00:00,16
7083,89 Sun Row Drive,"-79.538962, 43.687118",20,Weekdays from 7 AM - 9 PM,30,2017-05-26T16:00:00,2
7538,45 Canmore Boulevard,"-79.181071, 43.7933",5,Weekdays from 7 AM - 9 PM,40,2017-05-26T16:00:00,25
7544,88 Canmore Boulevard,"-79.177901, 43.793952",5,Weekdays from 7 AM - 9 PM,40,2017-05-26T16:00:00,25
7551,169 Grenoble Drive,"-79.328337, 43.712468",5,Weekdays from 7 AM - 9 PM,40,2017-05-26T16:00:00,16
7552,48 Grenoble Drive,"-79.331486, 43.716434",20,Weekdays from 7 AM - 9 PM,30,2017-05-26T16:00:00,16
7561,127 Sun Row Drive,"-79.536916, 43.684964",20,Weekdays from 7 AM - 9 PM,30,2017-06-16T18:00:00,2
7263,5 Maitland Place,"-79.375591, 43.665549",20,Weekdays from 7 AM - 9 PM,30,2017-06-22T13:00:00,13
7266,83 Alexander Street,"-79.379602, 43.663747",20,Weekdays from 7 AM - 9 PM,30,2017-07-11T13:00:00,13
7526,Holmfirth Terrace,"-79.220006, 43.759579",30,Weekdays from 7 AM - 9 PM,40,2017-07-11T14:00:00,24
7020,7 Hullen Crescent,"-79.619998, 43.729637",30,Weekdays from 7 AM - 9 PM,40,2017-09-01T13:00:00,1
7325,64 Erskine Avenue,"-79.396541, 43.711757",20,Weekdays from 7 AM - 9 PM,30,2017-11-30T20:00:00,15
7578,42 Keewatin Avenue,"-79.398038, 43.712579",20,Weekdays from 7 AM - 9 PM,30,2017-11-30T20:00:00,15
7580,194 Keewatin Avenue,"-79.393336945, 43.7135894101",20,Weekdays from 7 AM - 9 PM,30,2017-11-30T20:00:00,15
7579,33 Erskine Avenue,"-79.398131, 43.711185",20,Weekdays from 7 AM - 9 PM,30,2017-11-30T21:00:00,15
7123,125 Varsity Road,"-79.498917, 43.66192",20,Weekdays from 7 AM - 9 PM,30,2017-12-13T16:00:00,4
7320,404 Rogers Road,"-79.461346, 43.683223",20,Weekdays from 7 AM - 9 PM,30,2017-12-13T20:00:00,9
7158,25 Porter Avenue,"-79.479179, 43.681759",20,Weekdays from 7 AM - 9 PM,30,2017-12-13T21:00:00,5
7161,26 Seneca Avenue,"-79.477451, 43.680184",30,Weekdays from 7 AM - 9 PM,40,2017-12-13T21:00:00,5
7157,80 McCormack Street,"-79.476937, 43.676097",20,Weekdays from 7 AM - 9 PM,30,2018-01-11T16:00:00,5
7449,24 Newport Avenue,"-79.283283, 43.695482",20,Weekdays from 7 AM - 9 PM,30,2018-01-12T15:00:00,20
7434,94 Denton Avenue,"-79.280143, 43.694897",20,Weekdays from 7 AM - 9 PM,30,2018-01-12T16:00:00,20
7448,67 Denton Avenue,"-79.282619, 43.694233",30,Weekdays from 7 AM - 9 PM,40,2018-01-12T16:00:00,20
7446,136 Byng Avenue,"-79.281633, 43.696487",30,Weekdays from 7 AM - 9 PM,40,2018-01-12T17:00:00,20
7136,29 Jane Street,"-79.484749, 43.650243",30,Weekdays from 7 AM - 9 PM,40,2018-01-16T15:00:00,4
7100,112 Norseman Street,"-79.51753, 43.634576",20,Weekdays from 7 AM - 9 PM,30,2018-01-16T17:00:00,3
7106,87 Norseman Street,"-79.514798, 43.635297",20,Weekdays from 7 AM - 9 PM,30,2018-01-16T18:00:00,3
7172,345 Wilmington Avenue,"-79.460103, 43.768824",20,Weekdays from 7 AM - 9 PM,30,2018-01-16T20:00:00,6
7175,285 Wilmington Avenue,"-79.459095, 43.766502",20,Weekdays from 7 AM - 9 PM,30,2018-01-16T20:00:00,6
7177,330 Wilmington Avenue,"-79.460165, 43.768567",20,Weekdays from 7 AM - 9 PM,30,2018-01-16T20:00:00,6
7063,335 The Westway,"-79.558162, 43.685288",20,Weekdays from 7 AM - 9 PM,30,2018-01-19T14:00:00,2
7163,303 Rockcliffe Boulevard,"-79.487927, 43.673787",20,Weekdays from 7 AM - 9 PM,30,2018-01-19T19:00:00,5
7160,400 Rockcliffe Boulevard,"-79.488743, 43.675147",20,Weekdays from 7 AM - 9 PM,30,2018-01-19T20:00:00,5
7352,10 Snowcrest Avenue,"-79.38674, 43.792513",20,Weekdays from 7 AM - 9 PM,30,2018-01-22T13:00:00,17
7437,93 Byng Avenue,"-79.280483, 43.694157",20,Weekdays from 7 AM - 9 PM,30,2018-01-22T13:00:00,20
7444,64 Newport Avenue,"-79.280947, 43.696054",20,Weekdays from 7 AM - 9 PM,30,2018-01-22T13:00:00,20
7120,92 Jane Street,"-79.485482, 43.65153",20,Weekdays from 7 AM - 9 PM,30,2018-01-22T16:00:00,4
7137,148 Varsity Road,"-79.500928, 43.662937",20,Weekdays from 7 AM - 9 PM,30,2018-01-22T16:00:00,4
7150,50 Leigh Street,"-79.478635, 43.675533",30,Weekdays from 7 AM - 9 PM,40,2018-01-22T16:00:00,5
7227,1221 College Street,"-79.43711, 43.651627",20,Weekdays from 7 AM - 9 PM,30,2018-01-22T17:00:00,9
7232,Lane N College W Sheridan,"-79.435567, 43.652067",20,Weekdays from 7 AM - 9 PM,30,2018-01-22T17:00:00,9
7531,76 Shoredale Drive,"-79.211793, 43.761443",30,Weekdays from 7 AM - 9 PM,40,2018-01-23T15:00:00,24
7525,61 Holmfirth Terrace,"-79.217236, 43.760199",20,Weekdays from 7 AM - 9 PM,30,2018-01-23T16:00:00,24
7124,207 Windermere Avenue,"-79.476273, 43.642751",20,Weekdays from 7 AM - 9 PM,30,2018-01-24T17:00:00,4
7125,214 Windermere Avenue,"-79.478022, 43.643963",20,Weekdays from 7 AM - 9 PM,30,2018-01-24T17:00:00,4
7067,420 Mill Road,"-79.588101, 43.644406",30,Weekdays from 7 AM - 9 PM,50,2018-01-24T18:00:00,2
7085,411 Mill Road,"-79.586652, 43.643284",20,Weekdays from 7 AM - 9 PM,30,2018-01-24T18:00:00,2
7065,308 The Westway,"-79.555977, 43.685495",20,Weekdays from 7 AM - 9 PM,30,2018-01-24T19:00:00,2
7574,93 Margueretta Street,"-79.436891, 43.653022",20,Weekdays from 7 AM - 9 PM,30,2018-01-24T20:00:00,9
7334,4 Rustywood Drive,"-79.320933, 43.751851",5,Weekdays from 7 AM - 9 PM,40,2018-01-26T17:00:00,16
7277,180 Carlaw Avenue,"-79.340014, 43.660605",20,Weekdays from 7 AM - 9 PM,30,2018-02-02T18:00:00,14
7279,487 Jones Avenue,"-79.338471, 43.676307",30,Weekdays from 7 AM - 9 PM,40,2018-02-02T18:00:00,14
7274,226 Broadview Avenue,"-79.351235, 43.661865",20,Weekdays from 7 AM - 9 PM,30,2018-02-02T19:00:00,14
7275,155 Broadview Avenue,"-79.350384, 43.660277",30,Weekdays from 7 AM - 9 PM,40,2018-02-02T19:00:00,14
7128,30 Marmaduke Street,"-79.4512990085, 43.6504567511",20,Weekdays from 7 AM - 9 PM,30,2018-02-02T20:00:00,4
7289,Plains Road,"-79.332489, 43.695138",20,Weekdays from 7 AM - 9 PM,30,2018-02-02T20:00:00,14
