_id,OBJECTID,NAME,BOARD_NAME,SCHOOL_TYPE_DESC,MUNICIPALITY,PLACE_NAME,geometry
31365,1,A PLUS ACADEMY OF ADVANCEMENT,,Private,Scarborough,,"-79.2671039369, 43.732081946"
31366,2,A R S ARMENIAN PRIVATE SCHOOL,,Private,North York,,"-79.3231561477, 43.7700530625"
31367,3,A Y J GLOBAL ACADEMY,,Private,North York,,"-79.3252164121, 43.7740825707"
31368,4,A Y JACKSON SECONDARY SCHOOL,Toronto District School Board,English Public,North York,A. Y. Jackson Secondary School,"-79.3665552934, 43.8052613014"
31369,5,ABACUS MONTESSORI LEARNING CENTRE,,Private,North York,Latvian Canadian Centre,"-79.3190099774, 43.7254322328"
31370,6,ABU BAKR EDUCATION ACADEMY,,Private,Scarborough,,"-79.2621633018, 43.7514534549"
31371,7,ACACIA INTERNATIONAL HIGH SCHOOL,,Private,Etobicoke,,"-79.541290193, 43.6339646128"
31372,8,ACADEMIE ALEXANDRE DUMAS,Conseil scolaire Viamonde,French Public,Scarborough,Academie Alexandre Dumas,"-79.1797652167, 43.7624188078"
31373,9,ACADEMY OF EXCELLENCE,,Private,North York,,"-79.4005055525, 43.7651862818"
31374,10,ACADEMY OF MATH AND ENGLISH,,Private,Etobicoke,,"-79.531989733, 43.6448242554"
31375,11,ACADEMY OF NEW ECHO EDUCATION,,Private,Scarborough,,"-79.3344738933, 43.8041514842"
31376,12,ACE ACUMEN HIGH SCHOOL,,Private,North York,,"-79.3475085093, 43.7507320603"
31377,13,ADAM BECK JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Adam Beck Junior Public School,"-79.2884878926, 43.6831518038"
31378,14,ADELFIHA'S CHRISTIAN ACADEMY,,Private,North York,Revival Time Tabernacle,"-79.4664451058, 43.7626893703"
31379,15,AFRICENTRIC ALTERNATIVE SCHOOL,Toronto District School Board,English Public,North York,Sheppard Public School,"-79.4882606578, 43.7454243556"
31380,16,AFZAL ISLAMIC MONTESSORI & ACADEMY,,Private,Scarborough,,"-79.1995461418, 43.8090844902"
31381,17,AGINCOURT COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Scarborough,Agincourt Collegiate Institute,"-79.2789099587, 43.7888738444"
31382,18,AGINCOURT INTERNATIONAL ACADEMY,,Private,Scarborough,,"-79.26367712, 43.8092576481"
31383,19,AGINCOURT JR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Agincourt Junior Public School,"-79.2811623057, 43.7882592158"
31384,20,AGINCOURT MONTESSORI,,Private,Scarborough,,"-79.2787041824, 43.786443273"
31385,21,AGNES MCPHAIL PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,,"-79.2785533935, 43.8192689757"
31386,22,AIM ACADEMY ISLAMIC SCHOOL,,Private,former Toronto,The Canadian Islamic Trust,"-79.4544695238, 43.653308868"
31387,23,AL AZHAR ISLAMIC SCHOOL,,Private,Scarborough,,"-79.2365750799, 43.8015539474"
31388,24,AL HAADI SCHOOL,,Private,Scarborough,,"-79.2484031068, 43.7779415952"
31389,25,AL IKHLAAS FOUNDATION SCHOOL,,Private,Etobicoke,,"-79.5785365342, 43.7109597265"
31390,26,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - BRIMLEY,,Private,Scarborough,,"-79.2706516349, 43.787469172"
31391,27,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - NORTH YORK,,Private,North York,,"-79.3477301744, 43.753218181"
31392,28,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - SCARBOROUGH,,Private,Scarborough,,"-79.3326615935, 43.8036813181"
31393,29,ALAZHAR ACADEMY OF CANADA,,Private,Etobicoke,,"-79.569211624, 43.7148769185"
31394,30,ALBERT CAMPBELL COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Scarborough,Albert Campbell Collegiate Institute,"-79.2724244729, 43.8092625383"
31395,31,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,Albion Heights Public School,"-79.5943154959, 43.731388264"
31396,32,ALBION LINC,Toronto District School Board,English Public,Etobicoke,,"-79.584602138, 43.7417625405"
31397,33,ALBORZ EDUCATION CENTRE SECONDARY SCHOOL,,Private,North York,,"-79.4261936575, 43.79549658"
31398,34,ALEXANDER MUIR GLADSTONE AVENUE JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Alexander Muir/Gladstone Ave Junior and Senior Public School,"-79.4288472632, 43.6460212506"
31399,35,ALEXANDER STIRLING PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Alexander Stirling Public School,"-79.2076059405, 43.8116563251"
31400,36,ALEXMUIR JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Alexmuir Public School,"-79.2856134903, 43.8091093227"
31401,37,ALIF CANADA ELEMENTARY SCHOOL,,Private,Scarborough,Vineyard Christian Fellowship-Sc,"-79.294921297, 43.7621567551"
31402,38,ALIVE CHRISTIAN ACADEMY INTERNATIONAL SCHOOL,,Private,Scarborough,,"-79.246497022, 43.7791840974"
31403,39,ALL SAINTS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,All Saints Catholic School,"-79.5270811218, 43.6852216298"
31404,40,ALLENBY JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Allenby Junior Public School,"-79.4127877318, 43.7094356429"
31405,41,AL-MADRASAH AL-INAMYYAH,,Private,Scarborough,,"-79.2204196022, 43.7603212832"
31406,42,ALPHA ALTERNATIVE JUNIOR SCHOOL,Toronto District School Board,English Public,former Toronto,Alpha Alternative Junior Public School,"-79.3982225847, 43.6457220332"
31407,43,ALPHA II ALTERNATIVE SCHOOL,Toronto District School Board,English Public,former Toronto,Bloor Collegiate Institute,"-79.4367968964, 43.659246108"
31408,44,ALPHA QUALITY EDUCATION INC,,Private,North York,,"-79.4189320716, 43.7916222613"
31409,45,AL-QASIM ACADEMY,,Private,Scarborough,,"-79.2270980416, 43.7601291639"
31410,46,AL-RASSOOL ISLAMIC SCHOOL,,Private,North York,,"-79.3146091354, 43.7177128216"
31411,47,ALTERNATIVE SCARBOROUGH EDUCATION ONE,Toronto District School Board,English Public,Scarborough,St. Andrews Public School,"-79.2547962817, 43.7666452472"
31412,48,ALVIN CURLING PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Meadowvale Sheppard Public School,"-79.1902392505, 43.8084816563"
31413,49,AMAIRAH PRIVATE SCHOOL,,Private,Etobicoke,,"-79.5945953168, 43.7417121222"
31414,50,AMANAH ISLAMIC ACADEMY,,Private,Scarborough,,"-79.283828754, 43.7411259867"
31415,51,AMBERSON COLLEGE HIGH SCHOOL,,Private,Scarborough,,"-79.3340562371, 43.8089116211"
31416,52,AMESBURY MIDDLE SCHOOL,Toronto District School Board,English Public,North York,Amesbury Middle School,"-79.4932822328, 43.7084286283"
31417,53,ANCASTER PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Ancaster Public School,"-79.4669926272, 43.7328661717"
31418,54,ANNETTE STREET JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Annette Street Public School,"-79.4728312798, 43.6614231859"
31419,55,ANNUNCIATION CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,Annunciation Catholic School,"-79.3210503279, 43.7531144811"
31420,56,ANSON PARK PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Anson Park Public School,"-79.2411154202, 43.7261289166"
31421,57,ANSON S TAYLOR JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Anson S Taylor Junior Public School,"-79.2615613356, 43.8042919764"
31422,58,APOLLO HIGH SCHOOL,,Private,North York,,"-79.4147111813, 43.7778165673"
31423,59,APPLE ACADEMIC ACHIEVMENT CANADA,,Private,North York,,"-79.3398945338, 43.7871960727"
31424,60,ARBOR GLEN PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Arbor Glen Public School,"-79.3557094448, 43.8094863867"
31425,61,ARISTOTELE'S CREDIT SCHOOL,,Private,East York,St Demetrious Church,"-79.3449506416, 43.7029584141"
31426,62,ARKANA EDUCATION - PRIVATE HIGH SCHOOL,,Private,North York,,"-79.3984878979, 43.7639158093"
31427,63,ARMOUR HEIGHTS PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Armour Heights Public School,"-79.4195222788, 43.7409100432"
31428,64,ARROWSMITH SCHOOL - BLDG 1,,Private,former Toronto,,"-79.4057974162, 43.6854893205"
31429,65,ARROWSMITH SCHOOL - BLDG 2,,Private,former Toronto,Russian Orthodox Church,"-79.4056854013, 43.6855028021"
31430,66,ASSOCIATED HEBREW JR SCHOOL - POSLUNS CAMPUS,,Private,North York,,"-79.4342526359, 43.7314993952"
31431,67,ASSOCIATED HEBREW MIDDLE SCHOOL - HURWICH CAMPUS,,Private,North York,,"-79.4384699547, 43.7753161016"
31432,68,AVALON CHILDREN'S MONTESSORI,,Private,former Toronto,,"-79.2973253011, 43.6704133895"
31433,69,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL,Toronto District School Board,English Public,North York,Avondale Alternative School,"-79.4000020943, 43.7596784143"
31434,70,AVONDALE ALTERNATIVE SECONDARY SCHOOL,Toronto District School Board,English Public,North York,Griffin Centre,"-79.4118431542, 43.7863065106"
31435,71,AVONDALE PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Avondale Alternative School,"-79.4000020943, 43.7596784143"
31436,72,AVRO ACADEMY,,Private,North York,,"-79.4174202536, 43.725989843"
31437,73,BAIS CHAYA MUSHKA GIRLS,,Private,North York,,"-79.4774419814, 43.7607082264"
31438,74,BAIS CHOMESH HS FOR GIRLS,,Private,North York,Shaarei Tefillah Congregation,"-79.4330769431, 43.7311158004"
31439,75,BAIS YAAKOV ELEMENTARY SCHOOL,,Private,North York,Bais Yaakov School,"-79.4318694439, 43.7214292567"
