_id,DATE,HOUR,geometry,ROAD_CLASS,District,WardNum,ACCLOC,LIGHT,RDSFCOND,IMPACTYPE,INVAGE,INJURY,FATAL_NO,DRIVACT,DRIVCOND,PEDCOND,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL
15246,2019-04-30T04:00:00,7,"-79.231487, 43.836642",Collector,Scarborough,23,Non Intersection,Daylight,Dry,Pedestrian Collisions,40 to 44,None,,Driving Properly,Normal,,,,,
15247,2019-04-30T04:00:00,7,"-79.231487, 43.836642",Collector,Scarborough,23,Non Intersection,Daylight,Dry,Pedestrian Collisions,15 to 19,Major,,,,Inattentive,,,,
15286,2019-05-22T04:00:00,7,"-79.296566, 43.801265",Major Arterial,Scarborough,22,Intersection Related,Daylight,Dry,Angle,20 to 24,Major,,Disobeyed Traffic Control,Normal,,,Yes,Yes,
15287,2019-05-22T04:00:00,7,"-79.296566, 43.801265",Major Arterial,Scarborough,22,Intersection Related,Daylight,Dry,Angle,35 to 39,None,,Driving Properly,Normal,,,Yes,Yes,
15079,2019-07-01T04:00:00,7,"-79.43568, 43.679583",Major Arterial,Toronto and East York,9,At Intersection,Daylight,Dry,Pedestrian Collisions,55 to 59,None,,Driving Properly,Normal,,,,,
15080,2019-07-01T04:00:00,7,"-79.43568, 43.679583",Major Arterial,Toronto and East York,9,At Intersection,Daylight,Dry,Pedestrian Collisions,60 to 64,Major,,,,Inattentive,,,,
15089,2019-07-03T04:00:00,7,"-79.424053, 43.675323",Minor Arterial,Toronto and East York,12,At Intersection,"Daylight, artificial",Dry,Cyclist Collisions,40 to 44,None,,Failed to Yield Right of Way,Inattentive,,,Yes,,
15090,2019-07-03T04:00:00,7,"-79.424053, 43.675323",Minor Arterial,Toronto and East York,12,At Intersection,"Daylight, artificial",Dry,Cyclist Collisions,45 to 49,Major,,,,,,Yes,,
15127,2019-08-23T04:00:00,7,"-79.415752, 43.676727",Major Arterial,Toronto and East York,12,At Intersection,Daylight,Dry,Rear End,35 to 39,None,,Following too Close,Normal,,,Yes,,
15232,2019-08-23T04:00:00,7,"-79.415752, 43.676727",Major Arterial,Toronto and East York,12,At Intersection,Daylight,Dry,Rear End,25 to 29,Minimal,,Driving Properly,Normal,,,Yes,,
15321,2019-08-23T04:00:00,7,"-79.415752, 43.676727",Major Arterial,Toronto and East York,12,At Intersection,Daylight,Dry,Rear End,25 to 29,None,,,,,,Yes,,
15451,2019-08-23T04:00:00,7,"-79.415752, 43.676727",Major Arterial,Toronto and East York,12,At Intersection,Daylight,Dry,Rear End,40 to 44,Major,,,,,,Yes,,
15597,2019-08-23T04:00:00,7,"-79.415752, 43.676727",Major Arterial,Toronto and East York,12,At Intersection,Daylight,Dry,Rear End,60 to 64,Minimal,,,,,,Yes,,
15920,2019-08-31T04:00:00,7,"-79.380153, 43.674537",Major Arterial,Toronto and East York,11,Intersection Related,Daylight,Dry,Pedestrian Collisions,50 to 54,None,,Failed to Yield Right of Way,Inattentive,,,Yes,,
